# 口语词频表 v3（SUBTLEX-CH 词级 + 字幕 2-gram 组合词，词\t频次）
人不	10796
不多	10788
好啊	10762
么想	10729
比赛	10726
呀	10700
情况	10673
能做	10619
变	10580
关系	10567
真是	10559
女士	10544
一条	10544
们必	10533
本	10526
這麼	10507
说不	10471
不出	10428
马上	10413
叫什	10379
人会	10362
说得	10356
一杯	10347
只想	10337
决定	10318
见到	10317
每一	10316
根本	10311
雅黑	10311
关于	10266
们应	10255
那儿	10254
难	10254
只要	10236
会发	10234
人来	10193
又不	10190
里面	10183
每	10154
份	10154
這裡	10144
到底	10133
了解	10127
明天	10108
很久	10088
站	10081
不该	10055
结束	10050
公司	10046
成为	10038
永远	10036
帮助	10033
来说	10026
过一	10024
会来	10007
么知	9999
多少	9965
哇	9951
名	9950
它们	9933
本不	9910
总	9898
确定	9889
有人	9877
清楚	9836
让人	9833
要找	9831
等着	9828
喜歡	9818
天哪	9807
要什	9779
一年	9771
会说	9721
人一	9720
一场	9701
微软	9671
们知	9639
变得	9630
软雅	9575
晚上	9574
不相	9546
想看	9546
安全	9541
怎样	9529
没什么	9452
要再	9413
要回	9385
能帮	9367
块	9365
回家	9360
多人	9357
会去	9319
留	9272
周	9241
愿意	9191
快走	9185
计划	9169
们怎	9162
没想	9156
爸	9154
想去	9119
将会	9107
为一	9063
别担	9059
俩	9037
会不	9030
停	9028
看过	9025
不能	9019
他妈的	9006
说话	8985
能会	8979
然不	8975
另	8973
么可	8967
心	8955
花	8947
带着	8927
想说	8922
而不	8914
她们	8912
有些	8889
门	8879
们很	8875
能看	8862
感谢	8860
谈谈	8820
定	8761
兰克	8755
不像	8737
于	8727
很棒	8709
東西	8699
以后	8698
管	8697
照片	8687
每个	8685
欢迎	8674
敢	8664
覺得	8654
兄弟	8631
天晚	8594
从来	8581
总是	8552
嘴	8513
话给	8513
起來	8505
来吗	8498
跳	8496
说一	8490
拜托	8456
女儿	8450
抓	8430
小姐	8423
没看	8418
们俩	8416
动	8406
来找	8404
赢	8363
消息	8346
女	8343
忙	8342
個人	8333
一部	8316
或许	8315
如此	8305
队	8286
事吗	8256
能再	8243
无法	8226
房子	8223
拉	8219
要让	8150
会回	8148
衣服	8130
這些	8120
到什	8112
听说	8098
救	8095
参加	8081
别再	8073
應該	8067
办法	8059
睡	8031
人说	8030
们为	8026
唯一	8023
么大	8011
一份	8009
想不	8002
回去	7993
人们	7990
晚	7970
尔斯	7958
实上	7945
一步	7938
没见	7927
该死	7905
要告	7905
不清	7903
闭	7894
选择	7885
起去	7862
很大	7848
坏	7842
很重	7835
原因	7829
们将	7824
白吗	7823
謝謝	7815
听起	7809
们到	7791
远不	7774
下去	7767
受	7756
会给	7753
们做	7736
们正	7724
太棒	7717
么能	7715
连	7706
好好	7704
全	7693
要来	7661
一樣	7660
确实	7630
拿着	7611
做得	7610
挺	7603
找不	7597
此	7595
一张	7592
水	7581
老爸	7577
混蛋	7572
杯	7541
保证	7515
学校	7502
最大	7480
差不	7478
卖	7475
说出	7453
信	7450
种事	7450
接受	7444
改变	7434
舞	7420
看来	7416
高	7415
一名	7401
去做	7400
很喜	7382
别说	7380
麻烦	7376
想过	7370
不应	7355
无所	7328
会想	7326
出现	7322
上一	7319
打算	7315
些东	7300
接下	7287
一段	7287
很可	7279
电影	7249
试	7231
身上	7228
没说	7225
房间	7208
美	7200
会死	7197
不管	7185
书	7152
要知	7146
特别	7131
注意	7129
問題	7123
球	7121
查	7121
忘	7120
要看	7101
甚至	7100
保护	7094
真正	7090
结果	7085
表现	7082
拍	7076
其实	7067
很想	7065
么东	7051
不不	7048
小心	7022
进来	6999
時間	6994
路	6993
呆	6983
四	6979
久	6966
到哪	6965
想做	6961
几天	6955
翻译	6951
当时	6935
或	6932
懂	6923
大利	6920
只有	6916
十年	6904
怎么办	6871
開始	6871
第	6842
会做	6827
们所	6819
女朋	6818
来很	6817
做一	6808
生们	6803
会怎	6798
马	6796
讲	6785
绝对	6782
长官	6780
员	6763
回來	6758
进去	6757
天早	6751
至少	6750
律师	6747
看一	6728
们从	6703
喔	6700
整个	6696
听到	6695
从哪	6679
不上	6667
表演	6658
说吧	6657
出來	6654
正在	6653
无	6648
已	6636
笑	6628
计们	6621
选	6619
感到	6612
要杀	6610
搞定	6608
际上	6577
那边	6572
远	6570
儿	6569
故事	6551
疯	6550
人能	6542
换	6541
结婚	6535
猜	6521
要给	6520
咱们	6519
床	6505
能说	6500
处理	6498
做不	6495
来帮	6495
妻子	6494
进行	6485
们该	6479
像一	6464
内	6436
是否	6434
要打	6434
段	6430
令	6425
刚刚	6422
案子	6413
行动	6405
第二	6379
什麽	6369
得走	6368
努力	6360
害怕	6346
酒	6338
但不	6337
里去	6332
句话	6329
要帮	6327
发	6323
么啊	6320
调查	6319
求求	6315
学家	6315
失去	6314
歌	6309
不過	6307
成功	6305
唱	6300
考虑	6295
刚才	6280
约会	6267
节目	6253
想再	6226
通过	6216
之间	6212
别的	6210
学	6209
心点	6204
做过	6204
开心	6202
母亲	6195
斯先	6193
辆	6190
会找	6186
一點	6160
主意	6144
探	6140
又怎	6129
丈夫	6115
敢相	6115
一遍	6112
待	6103
变成	6103
倒	6092
离	6088
解释	6088
往	6083
们开	6078
界上	6075
要开	6064
要怎	6039
万	6031
们回	6029
联系	6021
会知	6017
会杀	6009
派	6001
关	5998
们找	5995
证明	5987
句	5984
会好	5982
快去	5979
来越	5958
能找	5943
没听	5942
人知	5932
道什	5930
子上	5914
抓到	5911
越来	5908
里来	5906
五	5903
生命	5898
有点	5897
点什	5893
靠	5890
解决	5888
来像	5883
办公室	5882
难道	5875
然後	5867
作为	5864
样说	5852
上最	5851
奇怪	5833
不让	5825
生	5816
并没	5809
由	5799
只会	5787
们真	5776
男	5775
会告	5775
极了	5771
同意	5759
话吗	5752
没办	5751
如	5747
不记	5746
得去	5742
電話	5740
要多	5738
游戏	5732
帮忙	5725
指	5719
去吗	5712
危险	5711
讨厌	5691
曾经	5689
味着	5679
别动	5679
士们	5677
眼睛	5673
么名	5673
得太	5664
對不	5648
会变	5644
少钱	5617
们最	5607
外面	5603
诉过	5602
说真	5592
一小	5588
么问	5586
到吗	5586
要用	5584
处	5577
国家	5576
看上去	5566
总统	5549
得对	5549
间	5547
试着	5538
伤害	5536
控制	5535
最近	5532
果不	5529
很漂	5528
声音	5523
糟	5513
行吗	5510
快乐	5505
去拿	5503
偷	5501
首	5501
可爱	5498
进入	5490
不愿	5485
能够	5483
一句	5477
搞什	5463
不信	5462
事实上	5461
哈	5460
醒	5457
意大	5456
分	5455
完成	5450
部	5436
昨晚	5434
不介	5434
们好	5433
去过	5423
定不	5418
要出	5402
同	5401
医院	5391
不行	5389
半	5389
而已	5389
后再	5386
要离	5365
上面	5363
子吗	5361
们自	5360
媽媽	5350
样子	5337
沒事	5336
少	5325
么一	5320
要干	5313
當然	5302
有趣	5296
